0.000,0.000,0.000

0.000,0.000,0.000

0.000,0.000,0.000

0.000,0.000,0.000

0.000,0.000,0.000

0.000,0.000,351.902

0.000,0.000,0.000

0.000,0.000,0.000

0.000,358.889,0.000

0.032,358.904,1.655

-0.001,0.297,0.335

0.000,0.000,0.000

0.000,0.000,0.000

0.000,0.000,0.000

0.000,0.000,0.000

0.000,0.000,0.000

0.008,358.689,0.713

0.000,0.000,0.000

0.000,0.000,0.000

0.009,1.101,359.110

83.301,198.387,157.702

0.000,359.680,2.562

0.081,0.914,355.396

0.000,0.000,8.099

0.000,0.000,0.000

0.000,0.000,0.000

0.000,1.111,0.000

0.032,1.096,358.345

-0.001,359.703,359.665

0.000,0.000,0.000

0.000,0.000,0.000

0.000,0.000,0.000

0.000,0.000,0.000

0.000,0.000,0.000

0.008,1.311,359.287

0.000,0.000,0.000

0.000,0.000,0.000

0.009,358.899,0.890

83.301,161.613,202.298

0.000,0.320,357.438

0.081,359.086,4.604

0.000,0.000,0.000

2.614,0.000,0.000

356.501,0.000,0.000

0.247,0.000,0.000

0.000,0.000,0.000

2.614,0.000,0.000

356.501,0.000,0.000

0.247,0.000,0.000

